code_uic;gare;guichet_adapte_pmr;boucle_magnetique;portes_automatiques_acces;bandes_eveil_vigilance;automates_transilien_accessibles;cab_passage_elargi_controle;ascenceurs;escaliers_mecaniques
87382333;CHAVILLE RIVE DROITE;0;0;1;0;1;1;2;1
87393207;CHAVILLE RIVE GAUCHE;0;1;0;0;1;Pas de CAB;0;
87116574;CHEZY SUR MARNE;;;;;;;;
87758649;CITE UNIVERSITAIRE;;;;;;;;
87391565;CLAMART;1;1;1;0;1;Pas de CAB;0;1
87381129;CLICHY LEVALLOIS;1;1;1;0;1;Pas de CAB;3;
87393272;COIGNIERES;0;1;0;1;0;Pas de CAB;0;
87381459;CONFLANS FIN D'OISE;1;1;1;;1;3;7;2
87381863;CORMEILLES EN PARISIS;1;0;0;0;1;1;0;
87116301;COULOMMIERS;0;1;0;0;1;Pas de CAB;0;
87276006;CREIL;;;;;;;;
87271536;DAMMARTIN JUILLY SAINT-MARD;;1;0;0;0;Pas de CAB;0;
87276345;DEUIL MONTMAGNY;1;1;1;0;1;Pas de CAB;0;
87276436;DOMONT;1;1;1;0;1;2;0;
87276584;ERMONT HALTE;1;1;0;0;1;Pas de CAB;0;
87684241;FERRIERES FONTENAY;;;;;;;;
87682427;FONTAINE LE PORT;0;0;0;1;0;Pas de CAB;0;
87271205;GENNEVILLIERS;0;1;0;0;1;1;2;2
87758870;GIF SUR YVETTE;;;;;;;;
87276246;GOUSSAINVILLE;1;1;0;1;1;1;0;
87276592;GROS NOYER SAINT-PRIX;1;1;0;0;1;Pas de CAB;0;
87393462;HOUDAN;0;1;0;0;1;Pas de CAB;2;
87393033;INVALIDES;0;1;1;1;1;1;3;10
87381574;ISSOU PORCHEVILLE;0;0;0;1;0;Pas de CAB;0;
87683243;JOIGNY;;;;;;;;
87758144;JOINVILLE LE PONT;;;;;;;;
87430900;JOUY SUR MORIN EUSTACHE;;;;;;;;
87271171;LA BARRE ORMESSON;1;1;1;0;1;Pas de CAB;1;
87382432;LA CELLE SAINT-CLOUD;1;1;1;0;1;Pas de CAB;0;
87116566;NOGENT L'ARTAUD CHARLY;;;;;;;;
87758359;NOISIEL;;;;;;;;
87758334;NOISY LE GRAND MONT D'EST;;;;;;;;
87393876;NOISY LE ROI;1;1;1;1;1;Pas de CAB;1;
87393447;ORGERUS BEHOUST;0;1;0;0;0;Pas de CAB;0;
87271585;ORMOY VILLERS;;;;;;;;
87276279;ORRY LA VILLE COYE LA FORET;;;;;;;;
87758813;PALAISEAU VILLEBON;;;;;;;;
87547026;PARIS AUSTERLITZ (GARE D'AUSTERLITZ);1;1;1;1;1;1;3;
87393504;PETIT JOUY LES LOGES;0;1;0;0;0;Pas de CAB;0;
87393629;PLAISIR LES CLAYES;0;1;0;0;0;1;0;
87682526;PONTHIERRY PRINGY;0;0;0;0;0;Pas de CAB;0;
87758722;ROBINSON;;;;;;;;
87431791;ROUGEMONT CHANTELOUP (T4);0;0;0;1;1;Pas de CAB;0;
87546291;RUNGIS LA FRATERNELLE;0;1;0;0;0;Pas de CAB;0;
87382358;SAINT-CLOUD;1;1;1;1;1;1;3;4
87758094;SAINT-GERMAIN EN LAYE;;;;;;;;
87785436;SAINT-MICHEL NOTRE DAME;;;;;;;;
87381426;SAINT-OUEN L'AUMONE QUARTIER DE L'EGLISE;0;1;0;0;0;Pas de CAB;0;
87758896;SAINT-REMY LES CHEVREUSE;;;;;;;;
87276188;SANNOIS;0;1;1;1;1;2;0;
87682187;SAVIGNY LE TEMPLE NANDY;1;1;1;1;1;2;0;
87272039;SEUGY;0;0;0;0;0;Pas de CAB;0;
87276634;TAVERNY;1;1;0;0;0;Pas de CAB;0;
87272054;THIEUX NANTOUILLET;0;0;0;0;0;Pas de CAB;0;
87393835;TRAPPES;1;1;1;0;1;1;0;
87381806;TRIEL SUR SEINE;0;0;0;1;0;Pas de CAB;0;
87276535;VALMONDOIS;1;1;0;0;0;Pas de CAB;0;
87391532;VANVES MALAKOFF;0;1;1;0;0;Pas de CAB;0;
87382267;VAUCRESSON;1;0;0;0;1;Pas de CAB;2;
87272021;VILLAINES;0;0;0;0;0;Pas de CAB;0;
87545277;VILLENEUVE LE ROI;0;1;0;0;1;Pas de CAB;0;
87681825;VILLENEUVE SAINT-GEORGES;1;1;1;1;0;1;0;1
87683219;VILLENEUVE SUR YONNE;;;;;;;;
87386649;VILLENNES SUR SEINE;0;1;0;0;0;Pas de CAB;0;
87271510;VILLEPARISIS MITRY LE NEUF;1;1;1;1;1;1;0;
87681312;VIRY CHATILLON;1;1;0;0;0;Pas de CAB;0;
87758748;LA CROIX DE BERNY;;;;;;;;
